home_team,dry_matches,rainy_matches,dry_points,rainy_points,dry_goal_difference,rainy_goal_difference,normal_matches,cold_matches,normal_points,cold_points,normal_goal_difference,cold_goal_difference,mean_strength_proxy,rain_points_delta,rain_goal_difference_delta,cold_points_delta,cold_goal_difference_delta,rain_sample_balance,cold_sample_balance,strength_normalizer,rain_sensitivity_component,cold_sensitivity_component,climate_sensitivity_index,climate_sensitivity_label
West Bromwich Albion,3.0,16.0,1.3333333333333333,0.6875,-0.6666666666666666,-1.375,3.0,16.0,0.3333333333333333,0.875,-1.3333333333333333,-1.25,1.0,-0.6458333333333333,-0.7083333333333334,0.5416666666666667,0.08333333333333326,0.1875,0.1875,1.0,0.12460937499999997,-0.07578125,2.4414062499999987,moderately affected
Arsenal,34.0,61.0,2.0294117647058822,2.098360655737705,0.8529411764705882,1.0491803278688525,44.0,51.0,2.1818181818181817,1.9803921568627452,1.0227272727272727,0.9411764705882353,1.8471578947368423,0.06894889103182278,0.1962391513982643,-0.2014260249554365,-0.08155080213903743,0.5573770491803278,0.8627450980392157,1.8471578947368423,-0.032328113644997075,0.07728239572600419,2.2477141040503557,moderately affected
Newcastle United,25.0,70.0,1.6,1.6857142857142857,0.36,0.44285714285714284,39.0,56.0,1.6666666666666667,1.6607142857142858,0.5641025641025641,0.32142857142857145,1.3874468085106384,0.08571428571428563,0.08285714285714285,-0.005952380952380931,-0.24267399267399264,0.35714285714285715,0.6964285714285714,1.3874468085106384,-0.021843087794848025,0.03863450187619902,0.8395707040675496,neutral
Chelsea,35.0,60.0,1.8,1.7,0.6857142857142857,0.6166666666666667,51.0,44.0,1.7058823529411764,1.7727272727272727,0.6078431372549019,0.6818181818181818,1.6226950354609926,-0.10000000000000009,-0.06904761904761902,0.0668449197860963,0.07397504456327986,0.5833333333333334,0.8627450980392157,1.6226950354609926,0.03261035839160842,-0.03667699082923999,-0.20333162188157852,neutral
Bournemouth,17.0,40.0,1.4705882352941178,1.125,0.058823529411764705,-0.45,36.0,21.0,1.1111111111111112,1.4285714285714286,-0.3888888888888889,-0.14285714285714285,1.0754464285714285,-0.34558823529411775,-0.5088235294117647,0.31746031746031744,0.24603174603174605,0.425,0.5833333333333334,1.0754464285714285,0.15592361975923621,-0.16057069938348478,-0.2323539812124284,neutral
Fulham,17.0,40.0,1.2352941176470589,1.175,-0.17647058823529413,-0.175,27.0,30.0,1.2592592592592593,1.1333333333333333,-0.48148148148148145,0.1,1.1194642857142856,-0.06029411764705883,0.0014705882352941402,-0.125925925925926,0.5814814814814815,0.425,0.9,1.1194642857142856,0.015855798372946244,-0.06937842292763328,-2.676131227734352,weather-resilient
West Ham United,35.0,60.0,1.6,1.4833333333333334,0.42857142857142855,0.06666666666666667,47.0,48.0,1.4042553191489362,1.6458333333333333,0.10638297872340426,0.2916666666666667,1.3650354609929078,-0.1166666666666667,-0.3619047619047619,0.24157801418439706,0.18528368794326244,0.5833333333333334,0.9791666666666666,1.3650354609929078,0.0812962193242237,-0.16117433344590493,-3.9939057060840613,weather-resilient
Liverpool,23.0,72.0,2.3043478260869565,2.4444444444444446,1.1304347826086956,1.6666666666666667,44.0,51.0,2.3636363636363638,2.450980392156863,1.4545454545454546,1.607843137254902,2.148936170212766,0.1400966183574881,0.5362318840579712,0.08734402852049916,0.15329768270944744,0.3194444444444444,0.8627450980392157,2.148936170212766,-0.03849162694047185,-0.04301011416020496,-4.0750870550338405,weather-resilient
Manchester United,17.0,78.0,1.9411764705882353,1.935897435897436,0.7647058823529411,0.7564102564102564,45.0,50.0,1.7777777777777777,2.08,0.4888888888888889,1.0,1.6930851063829788,-0.005279034690799378,-0.008295625942684737,0.3022222222222224,0.5111111111111111,0.21794871794871795,0.9,1.6930851063829788,0.0007960601015048895,-0.19396544140747726,-9.658469065298618,weather-resilient
Wolverhampton Wanderers,32.0,63.0,1.34375,1.492063492063492,-0.3125,0.06349206349206349,36.0,59.0,1.3611111111111112,1.4915254237288136,-0.3055555555555556,0.0847457627118644,1.1828947368421052,0.1483134920634921,0.3759920634920635,0.13041431261770242,0.39030131826742,0.5079365079365079,0.6101694915254238,1.1828947368421052,-0.09301564320368283,-0.10748832291233612,-10.025198305800947,weather-resilient
Southampton,27.0,49.0,1.1851851851851851,1.0612244897959184,-0.5555555555555556,-0.30612244897959184,38.0,38.0,1.0,1.2105263157894737,-0.5789473684210527,-0.21052631578947367,1.0928000000000002,-0.12396069538926668,0.24943310657596374,0.21052631578947367,0.368421052631579,0.5510204081632653,1.0,1.0928000000000002,0.006021771065374731,-0.23599445172227784,-11.498634032845155,weather-resilient
Burnley,21.0,55.0,1.0,1.018181818181818,-0.6666666666666666,-0.5272727272727272,25.0,51.0,0.72,1.1568627450980393,-1.04,-0.3333333333333333,1.0,0.018181818181818077,0.1393939393939394,0.43686274509803935,0.7066666666666668,0.38181818181818183,0.49019607843137253,1.0,-0.020826446280991708,-0.2538254517493272,-13.732594901515945,weather-resilient
Norwich City,16.0,22.0,1.0625,0.45454545454545453,-1.25,-1.3181818181818181,18.0,20.0,0.3888888888888889,1.0,-1.7222222222222223,-0.9,1.0,-0.6079545454545454,-0.06818181818181812,0.6111111111111112,0.8222222222222223,0.7272727272727273,0.9,1.0,0.3243801652892562,-0.6070000000000001,-14.130991735537195,weather-resilient
Leeds United,16.0,41.0,1.1875,1.2195121951219512,-0.4375,-0.3902439024390244,22.0,35.0,0.9090909090909091,1.4,-0.8181818181818182,-0.14285714285714285,1.1835087719298245,0.03201219512195119,0.047256097560975596,0.49090909090909085,0.6753246753246753,0.3902439024390244,0.6285714285714286,1.1835087719298245,-0.012063464404755326,-0.29010933160693864,-15.108639800584697,weather-resilient
Brentford,20.0,37.0,1.2,1.5945945945945945,-0.1,0.40540540540540543,34.0,23.0,1.3235294117647058,1.6521739130434783,0.14705882352941177,0.34782608695652173,1.3136904761904762,0.39459459459459456,0.5054054054054055,0.3286445012787724,0.20076726342710996,0.5405405405405406,0.6764705882352942,1.3136904761904762,-0.17604123674489464,-0.14947720605873416,-16.27592214018144,weather-resilient
Sheffield United,19.0,38.0,0.47368421052631576,1.3157894736842106,-1.0,-0.6578947368421053,18.0,39.0,0.7777777777777778,1.1538461538461537,-1.1111111111111112,-0.6153846153846154,1.0,0.8421052631578949,0.3421052631578947,0.37606837606837595,0.49572649572649574,0.5,0.46153846153846156,1.0,-0.3460526315789474,-0.19013806706114394,-26.809534932004564,weather-resilient
